Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Article XML Upload: Crossref 5.3.1,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,article_xml_upload/crossref_531,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## M.1,----------,## Upload an XML file which does not meet the Crossref schema,----------
,,Setup: You must be logged in using a pure publisher account (no other privileges),
M.1.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
M.1.2.,publisher,"Browse for a file under ""Select a file"" and select a file from your computer which is XML but not of the Crossref schema. You may use the file ""schema_invalid.xml"" from the Crossref folder in resources for this test.

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/4047-OPF/doajtest/xml_upload_test_package/Crossref/schema_invalid.xml",
M.1.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
M.1.4.,publisher,"Click ""Upload""",
M.1.4.1.,publisher,,A flash message appears at the top of the screen indicating an error has occurred
M.1.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"" (you may need to reload the page). Check that the explanation link goes to a suitable reason and resolution for the problem."
----------,----------,----------,----------

----------,----------,----------,----------
## M.2,----------,## Upload a malformed XML file,----------
,,Setup: You must be logged in using a pure publisher account (no other privileges),
M.2.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
M.2.2.,publisher,"Browse for a file under ""Select a file"" and select a file from your computer which is XML but not of the Crossref schema. You may use the file ""schema_invalid.xml"" from the Crossref folder in resources for this test. You may use the file ""not_xml.xml"" from the Crossref folder in resources for this test.

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/4047-OPF/doajtest/xml_upload_test_package/Crossref/not_xml.xml",
M.2.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
M.2.4.,publisher,"Click ""Upload""",
M.2.4.1.,publisher,,A flash message appears at the top of the screen indicating an error has occurred
M.2.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"" (you may need to reload the page). Check that the explanation link goes to a suitable reason and resolution for the problem."
----------,----------,----------,----------

----------,----------,----------,----------
## M.3,----------,## Upload a file with duplicates inside the file,----------
,,"Setup: Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals.",
,,Setup: You must be logged in using a pure publisher account (no other privileges),
M.3.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
M.3.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""duplicate_in_file.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/4047-OPF/doajtest/xml_upload_test_package/Crossref/5.3.1/duplicate_in_file.xml",
M.3.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
M.3.4.,publisher,"Click ""Upload""",
M.3.4.1.,publisher,,A flash message appears at the top of the screen indicating a successful upload
M.3.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
M.3.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
M.3.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem."
----------,----------,----------,----------

----------,----------,----------,----------
## M.4,----------,## Upload a file containing ISSNs the publisher does not own,----------
,,"Setup: Ensure that the ISSNs 0000-0002 and 0000-000X are in DOAJ attached to one or more journals (e.g. one with 0000-000X AND 0000-0002 or two, one with 0000-0002 and another with 0000-000X).  None of the journals with these ISSNs should be owned by the publisher",
,,Setup: You must be logged in using a pure publisher account (no other privileges),
M.4.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
M.4.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""unowned_issn.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/4047-OPF/doajtest/xml_upload_test_package/Crossref/5.3.1/unowned_issn.xml",
M.4.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
M.4.4.,publisher,"Click ""Upload""",
M.4.4.1.,publisher,,A flash message appears at the top of the screen indicating a successful upload
M.4.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
M.4.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
M.4.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem."
M.4.6.,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""",
M.4.6.1.,publisher,,"Additional error details are shown, indicating that the publisher does not own ISSNs ""0000-0002"" and ""0000-000X"""
----------,----------,----------,----------

----------,----------,----------,----------
## M.5,----------,## Upload a file containing ISSNs not previously seen in DOAJ,----------
,,"Setup: Ensure that the ISSN ""1111-1111"" is attached to a journal owned by the publisher and ISSN ""5555-5555"" is not present in any journal in DOAJ.",
,,Setup: You must be logged in using a pure publisher account (no other privileges),
M.5.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
M.5.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""unmatched_issn.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/4047-OPF/doajtest/xml_upload_test_package/Crossref/5.3.1/unmatched_issn.xml",
M.5.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
M.5.4.,publisher,"Click ""Upload""",
M.5.4.1.,publisher,,A flash message appears at the top of the screen indicating a successful upload
M.5.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
M.5.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
