Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Admin Journal Search Interactions
1.1,admin,Go to the DOAJ admin journal search at /admin/,"* All available records are found, and the first page of results is shown
"
1.2,admin,Open and Collapse all the facets on the left,"* The facets opens and closes as expected
* Each facet contains a maximum of 10 values relevant to that field
"
1.3,admin,Open one of the facets of your choice,
1.4,admin,Select one of the values for that facet,"* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.5,admin,Click the value off in the facet to the left so all values are shown again,"* The search results reset
"
1.6,admin,Go through each sort option in the sort option for one facet,"* The order that the filters are listed in changes accordingly
"
1.7,admin,"In each case, click the ""sort by"" button to reverse the direction of sort","* The order that the filters are listed in changes accordingly
"
1.8,admin,"Go through each SORT BY option at the top of the search results, choosing from Relevance, Title, Last updated, Date added  and remembering to change the order from Ascending to Descending","* The current search results change with each selection and are then ordered correctly according to the selected sort field and the selected sort direction
"
1.9,admin,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text remains in the search box
* You can click into the search box, your search terms remains and you can modify it
"
1.10,admin,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""No results to display"" text is displayed
"
1.11,admin,Change the number of results on one page using the results per page pulldown,"* The size of the page of results displays increases appropriately
"
1.12,admin,Scroll to the bottom,"* The page size displayed at the end of the search results matches.
"
1.13,admin,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.14,admin,Scroll to the bottom of the page. Click Next again.,"* The page automatically scrolls to the top of the next page
"
1.15,admin,"Click ""Next"" again",
1.16,admin,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.17,admin,"Click ""First""","* You are taken to the first page of the results
"

2,,Test Admin Journal Search Display
2.1,admin,Click the black X button to clear all filters,"* The interface returns to the initial state as per 1.1.1
"
2.2,admin,Go to the DOAJ admin journal search at /admin/,
2.3,admin,"Open the In DOAJ facet, and select ""False""","* None of the journal titles in the search results are links
* ""In DOAJ: No"" metadata is present
"
2.4,admin,"Clear the ""In DOAJ?"" filter","* All the journal titles in the search results are links
"
2.5,admin,"Select ""True"" from that facet","* ""In DOAJ: Yes"" metadata is present
"
2.6,admin,Click on the journal title,"* You are taken to the DOAJ ToC page for this journal
"
2.7,admin,Click back (as many times as required) in your browser window to go back to the search results,
2.8,admin,"Click on the ""Home page"" URL for a journal result","* You are taken to the Journal's home page
"
2.9,admin,Click back in your browser to go back to the search results,
2.10,admin,"Click on the ""Owner"" of a journal result","* You are taken to the user account page for the journal owner
"
2.11,admin,Click back in your browser to go back to the search results,
2.12,admin,Open the Journal License facet,
2.13,admin,Select one of the CC licences from this facet,"* All the journal results show the relevant CC icon under the metadata field ""License""
"
2.14,admin,"Clear the ""Journal License"" filter",
2.15,admin,"Open the ""Publication Charges"" filter",
2.16,admin,"Select ""Yes"" from this facet","* All the journal results show that the journals have publication charges, and provide a link to the Journal page
"
2.17,admin,Clear all the search filters with the Red X in the search bar,
2.18,admin,"Find a journal in the search results which has a ""Related Record""",
2.19,admin,"Click on the ""Related Records"" link","* You are taken to the application search results, and a single search result is present, showing the applicaiton which produced that journal
"
2.20,admin,Click back in your browser window to return to the journal search,
2.21,admin,Look at the bottom of each journal record,"* You have an option to make a preceeding or succeeding continuation
* You have an option to Edit this journal
"
2.22,admin,"Click ""Make a preceeding continuation""","* A new browser window opens containing the continuations form '[Journal title] continues...'
"
2.23,admin,Close the new browser window,
2.24,admin,"Click ""Make a succeeding continuation""","* A new browser window opens containing the continuations form '[Journal title] is continued by...'
"
2.25,admin,Close the new browser window,
2.26,admin,"Click ""Edit this journal""","* A new browser window opens containing the edit form for the journal
"
2.27,admin,"Click ""Unlock and Close""",

