Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Publisher Update Request Search Interactions
1.1,publisher,Go to the DOAJ admin applications search at /publisher/progress,"* All available records are found, and the first page of results is shown
* Results are sorted by last updated date, oldest first
* On the left facet ""Application Status"" is open
"
1.2,publisher,Open one of the facets of your choice,
1.3,publisher,Select one of the values for that facet,"* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.4,publisher,"Go through each sort option in the ""sort by"" pull-down",
1.5,publisher,"In each case, click the ""sort by"" button to reverse the direction of sort","* The current search results are ordered correctly according to the selected sort field and the selected sort direction
"
1.6,publisher,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text ramains in the search box
"
1.7,publisher,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""no results match"" text is displayed
"
1.8,publisher,"Change the page size, using the page-size pull-down","* The size of the page of results displays increases appropriately
"
1.9,publisher,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.10,publisher,"Click ""Next"" again",
1.11,publisher,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.12,publisher,"Click ""First""","* You are taken to the first page of the results
"
1.13,publisher,Click the Red X button to clear all filters,"* The interface returns to the initial state as per 1.1.1
"

2,,Test Admin Application Search Display
2.1,admin,Go to the DOAJ admin application search at /admin/applications,
2.2,admin,"Open the ""Application Status"" facet and select ""Accepted""","* Every result includes the text ""This update request has been accepted, and your journal in DOAJ updated (view request)."" on the bottom right
"
2.3,admin,"Click on ""View request"" for one of the results","* You are taken to the edit form for the application but it is read only (there is a warning displayed at the top of the page ""Please note this form is read-only, you cannot make changes here.""
"
2.4,admin,"Click ""Back""",
2.5,admin,"Clear the ""Accepted"" filter and select ""Rejected""","* Every result includes the text ""This update request has been rejected, and your journal in DOAJ updated (view request)."" on the bottom right
"
2.6,admin,"Click ""Back""",
2.7,admin,"Clear the ""Accepted"" filter and select any status other than ""Accepted"" or ""Rejected""","* Every result includes the text ""This update request is currently being reviewed by an Editor (view request)."" on the bottom right
"
2.8,admin,"Click on ""View request"" for one of the results","* You are taken to the edit form for the application but it is read only (there is a warning displayed at the top of the page ""Please note this form is read-only, you cannot make changes here.""
"

