Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Associate Journal Search Interactions
1.1,Associate Editor,Go to the DOAJ editor's journal search at /editor/your_journals,"* All available records are found, and the first page of results is shown
"
1.2,Associate Editor,Open and Collapse all the facets on the left,"* The facet opens and closes as expected
* Each facet contains a maximum of 10 values relevant to that field
"
1.3,Associate Editor,Open one of the facets of your choice,
1.4,Associate Editor,Select one of the values for that facet,"* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.5,Associate Editor,"Go through each sort option in the ""sort by"" pull-down",
1.6,Associate Editor,"In each case, click the ""sort by"" button to reverse the direction of sort","* The current search results are ordered correctly according to the selected sort field and the selected sort direction
"
1.7,Associate Editor,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text ramains in the search box
"
1.8,Associate Editor,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""no results match"" text is displayed
"
1.9,Associate Editor,"Change the page size, using the page-size pull-down","* The size of the page of results displays increases appropriately
"
1.10,Associate Editor,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.11,Associate Editor,"Click ""Next"" again",
1.12,Associate Editor,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.13,Associate Editor,"Click ""First""","* You are taken to the first page of the results
"
1.14,Associate Editor,Click the black X button to clear all filters,"* The interface returns to the initial state as per 1.1.1
"
1.15,Associate Editor,"Click ""Edit this journal"" link at the bottom of any journal link","* /editor/journal/<id> opens in a new tab
"

