Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Upload an XML file which does not meet the Crossref schema
1.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
1.2,publisher,"Select ""Choose file"" and select a file from your computer which is XML but not of the Crossref schema. You may use the file ""schema_invalid.xml"" from the Crossref folder in resources for this test.

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/schema_invalid.xml",
1.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
1.4,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"" (you may need to reload the page). Check that the explanation link goes to a suitable reason and resolution for the problem.
"

2,,Upload a malformed XML file
2.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
2.2,publisher,"Select ""Choose file"" and select a file from your computer which looks like XML but is actually malformed.  You may use the file ""not_xml.xml"" from the Crossref folder in resources for this test.

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/not_xml.xml",
2.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
2.4,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

3,,Upload a file with duplicates inside the file
3.1,publisher,"Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals",
3.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
3.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
3.4,publisher,"Select ""Choose file"" and select the test resource file ""duplicate_in_file.xml"" from the Crossref 4.4.2 folder in resources for this test.

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/duplicate_in_file.xml",
3.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload
* Your file is shown in the ""History of uploads"" with status ""pending""
"
3.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

4,,Upload a file containing ISSNs the publisher does not own
4.1,publisher,"Ensure that the ISSNs 0000-0002 and 0000-000X are in DOAJ attached to one or more journals (e.g. one with 0000-000X AND 0000-0002 or two, one with 0000-0002 and another with 0000-000X).  None of the journals with these ISSNs should be owned by the publisher",
4.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
4.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
4.4,publisher,"Select ""Choose file"" and select the test resource file ""unowned_issn.xml"" from the Crossref 4.4.2 test resources folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/unowned_issn.xml",
4.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload
* Your file is shown in the ""History of uploads"" with status ""pending""
"
4.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
4.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the publisher does not own ISSNs ""0000-0000"" and ""0000-000X""
"

5,,Upload a file containing ISSNs not previously seen in DOAJ
5.1,publisher,"Ensure that the ISSN ""1111-1111"" is attached to a journal owned by the publisher and ISSN ""5555-5555"" is not present in any journal in DOAJ.",
5.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
5.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
5.4,publisher,"Select ""Choose file"" and select the test resource file ""unmatched_issn.xml""  from the Crossref 4.4.2 test resources folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/unmatched_issn.xml",
5.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload
* Your file is shown in the ""History of uploads"" with status ""pending""
"
