Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Publisher Journal Search Interactions
1.1,publisher,Go to the DOAJ admin journal search at /publisher/,"* All available records are found, and the first page of results is shown
"
1.2,publisher,Open and Collapse all the facets on the left,"* The facet opens and closes as expected
* Each facet contains a maximum of 10 values relevant to that field
"
1.3,publisher,Open one of the facets of your choice,
1.4,publisher,Select one of the values for that facet,"* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.5,publisher,"Go through each sort option in the ""sort by"" pull-down",
1.6,publisher,"In each case, click the ""sort by"" button to reverse the direction of sort","* The current search results are ordered correctly according to the selected sort field and the selected sort direction
"
1.7,publisher,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text ramains in the search box
"
1.8,publisher,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""no results match"" text is displayed
"
1.9,publisher,"Change the page size, using the page-size pull-down","* The size of the page of results displays increases appropriately
"
1.10,publisher,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.11,publisher,"Click ""Next"" again",
1.12,publisher,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.13,publisher,"Click ""First""","* You are taken to the first page of the results
"
1.14,publisher,Click the Red X button to clear all filters,"* The interface returns to the initial state as per 1.1.1
"

2,,Test Publisher Journal Search Display
2.1,admin,Go to the DOAJ admin journal search at /publisher/,
2.2,admin,"Open the In DOAJ facet, and select ""False""","* None of the journal titles in the search results are links
* In DOAJ: No metadata is present
"
2.3,admin,"Clear the ""In DOAJ?"" filter",
2.4,admin,"Select ""True"" from that facet","* All the journal titles in the search results are links
* In DOAJ: Yes metadata is present
"
2.5,admin,Click on the journal title,"* You are taken to the DOAJ ToC page for this journal
"
2.6,admin,Click back (twice) in your browser window to go back to the search results,
2.7,admin,"Click on the ""Hope page"" URL for a journal result","* You are taken to the Journal's home page
"
2.8,admin,Click back in your browser winder to go back to the search results,
2.9,admin,Open the Journal License facet,
2.10,admin,Select one of the CC licences from this facet,"* All the journal results show the relevant CC icon under the metadata field ""License""
"
2.11,admin,"Clear the ""Journal License"" filter",
2.12,admin,Click on the View current update request link at the bottom right of any journal,"* You are taken to Update Requests tab with this journal id search filter on (journal's id in the search fields is on and only related records are shown)
"

