Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Edit a Rejected Application
1.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
1.2,admin,"Select a ""Rejected"" application (e.g. by selecting ""Rejected"" from the ""Application Status"" facet on the left), and click ""View finished application""","* The applicaiton review page is shown
* The application is in status ""Rejected""
* There is no ""Quick Reject"" button shown on the page
"
1.3,admin,"Click the ""Unlock and Close"" button",

2,,Edit an Accepted Application
2.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
2.2,admin,"Select an ""Accepted"" application (e.g. by selecting ""Accepted"" from the ""Application Status"" facet on the left), and click  ""View finished application""","* The applicaiton review page is shown
* The application is in status ""Accepted""
* There is no ""Quick Reject"" button shown on the page
"
2.3,admin,"Click the ""Unlock and Close"" button",

3,,Select a pre-determined reject reason only
3.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
3.2,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application","* The applicaiton review page is shown
* The ""Quick Reject"" feature is shown above the application form
"
3.3,admin,"Select a reason for rejection from the pull-down menu.  Select any reason except ""Other"".  Do not enter any text in the additional information box",
3.4,admin,"click ""Quick Reject""","* A flash message containing the text ""This application was rejected with the reason 'X'"" is displayed, where X is the reason you selected for rejection.
* A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact
* The applicaiton review page is shown
* The application is in status ""Rejected""
* There is no ""Quick Reject"" button shown on the page
* There is a note attached to the application at the current date/time which contains the text ""[User name:] This application was rejected with the reason 'X'"" is displayed, where X is the reason you selected for rejection.
"
3.5,admin,"Click the ""Unlock and Close"" button",

4,,Select a pre-determined reject reason and add custom text
4.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
4.2,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application","* The applicaiton review page is shown
* The ""Quick Reject"" feature is shown above the application form
"
4.3,admin,"Select a reason for rejection from the pull-down menu.  Select any reason except ""Other"".",
4.4,admin,Enter some free-text in the additional information box,
4.5,admin,"click ""Quick Reject""","* A flash message containing the text ""This application was rejected with the reason 'X - Y'"" is displayed, where X is the reason you selected for rejection, and Y is the free text you entered
* A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact
* The applicaiton review page is shown
* The application is in status ""Rejected""
* There is no ""Quick Reject"" button shown on the page
* There is a note attached to the application at the current date/time which contains the text ""This application was rejected with the reason 'X - Y'"" is displayed, where X is the reason you selected for rejection, and Y is the free text you entered
"
4.6,admin,"Click the ""Unlock and Close"" button",

5,,Provide a custom rejection reason
5.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
5.2,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application","* The applicaiton review page is shown
* The ""Quick Reject"" feature is shown above the application form
"
5.3,admin,"Select ""Other"" from the pull-down menu of reasons for rejection",
5.4,admin,Enter some free-text in the additional information box,
5.5,admin,"click ""Quick Reject""","* A flash message containing the text ""This application was rejected with the reason 'Y'"" is displayed, where Y is the free text you entered
* A flash message containing the text ""Sent email to 'X' to tell them that their journal application was rejected"" is displayed, where X is the journal contact
* The applicaiton review page is shown
* The application is in status ""Rejected""
* There is no ""Quick Reject"" button shown on the page
* There is a note attached to the application at the current date/time which contains the text ""This application was rejected with the reason 'Y'"" is displayed, where Y is the free text you entered
"
5.6,admin,"Click the ""Unlock and Close"" button",

6,,Submit an invalid reject reason
6.1,admin,"Go to the ""Applications/Update Requests"" page in the Administration area",
6.2,admin,"Select an application that is not either ""Accepted"" or ""Rejected"" (e.g. by selecting ""Pending"" from the ""Application Status"" facet on the left), and click Review application","* The applicaiton review page is shown
* The ""Quick Reject"" feature is shown above the application form
"
6.3,admin,"Select ""Other"" from the pull-down menu of reasons for rejection.  Do not enter any free text in the additional information box",
6.4,admin,"click ""Quick Reject""","* An alert popup appears which reads ""When selecting 'Other' as a reason for rejection, you must provide additional information""
* The ""Quick Reject"" feature is shown above the application form
* The application status has not changed
"
6.5,admin,"Click the ""Unlock and Close"" button",

