Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Try uploading without providing a file
1.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area"" /publisher/uploadfile",
1.2,publisher,Do not fill in any inputs,
1.3,publisher,"Click ""Upload""","* Under the Select a file input and Upload from a link input an error ""You must specify the file or upload from a link"" error is displayed
"

2,,Upload a file which is not XML
2.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area"" /publisher/uploadfile",
2.2,publisher,"Select ""Choose file"" and select a file from your computer which is not text based (e.g. an image file or a PDF)",
2.3,publisher,"Click ""Upload""","* A flash message with appropriate text appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"". Check that the explanation link goes to a suitable reason and resolution for the problem.
"

3,,Upload an XML file which does not meet the DOAJ schema
3.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
3.2,publisher,"Select ""Choose file"" and select a file from your computer which is XML but not of the DOAJ schema. You may use the file ""schema_invalid.xml"" from the DOAJ folder in resources for this test.",
3.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
3.4,publisher,"Click ""Upload""","* A flash message with appropriate text appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"" (you may need to reload the page). Check that the explanation link goes to a suitable reason and resolution for the problem.
"

4,,Upload a malformed XML file
4.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
4.2,publisher,"Select ""Choose file"" and select a file from your computer which looks like XML but is actually malformed.  You may use the file ""not_xml.xml"" from the DOAJ folder in resources for this test.",
4.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
4.4,publisher,"Click ""Upload""","* A flash message with appropriate text appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

5,,Upload a file with duplicates inside the file
5.1,publisher,"Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals",
5.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
5.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
5.4,publisher,"Select ""Choose file"" and select the test resource file ""duplicate_in_file.xml"" from the DOAJ folder",
5.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen: File uploaded and waiting to be processed. Check back here for updates.
* Your file is shown in the ""History of uploads"" with status ""pending""
"
5.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

6,,Upload a file containing ISSNs the publisher does not own
6.1,publisher,"Ensure that the ISSNs 0000-0002 and 0000-000X are in DOAJ attached to one or more journals (e.g. one with 0000-000X AND 0000-0002 or two, one with 0000-0002 and another with 0000-000X).  None of the journals with these ISSNs should be owned by the publisher",
6.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
6.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
6.4,publisher,"Select ""Choose file"" and select the test resource file ""unowned_issn.xml"" from the DOAJ folder",
6.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
6.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
6.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the publisher does not own ISSNs ""0000-0000"" and ""0000-000X""
"

7,,Upload a file containing ISSN that has been withdrawn
7.1,publisher,Ensure that the publisher owns a journal with ISSN 0000-0000 that is not in DOAJ (ie. has been withdrawn),
7.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
7.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
7.4,publisher,"Select ""Choose file"" and select the test resource file ""withdrawn_journal.xml"" from the DOAJ folder",
7.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
7.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
7.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the journal has been withdrawn from DOAJ and therefore the article cannot be accepted
"

8,,Upload a file containing ISSNs not previously seen in DOAJ
8.1,publisher,"Ensure that the ISSN ""1111-1111"" is attached to a journal owned by the publisher and ISSN ""5555-5555"" is not present in any journal in DOAJ.",
8.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
8.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
8.4,publisher,"Select ""Choose file"" and select the test resource file ""unmatched_issn.xml""  from the DOAJ folder",
8.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
8.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
8.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the ISSN ""5555-5555"" does not appear in DOAJ.
"

