Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Test Editors Journal Search
1.1,Editor,Go to the DOAJ editor's journal search at /editor/group_journals,"* All available records are found, and the first page of results is shown
"
1.2,Editor,Open and Collapse all the facets on the left,"* The facet opens and closes as expected
* Each facet contains a maximum of 10 values relevant to that field
"
1.3,Editor,Open one of the facets of your choice,
1.4,Editor,Select one of the values for that facet,"* All the results for the selected constraints are found, and the first page is shown
* The filter applied is shown in the facets on the left and above the search results
"
1.5,Editor,"Go through each sort option in the ""sort by"" pull-down",
1.6,Editor,"In each case, click the ""sort by"" button to reverse the direction of sort","* The current search results are ordered correctly according to the selected sort field and the selected sort direction
"
1.7,Editor,Enter a search term in the search box,"* All the results for the selected constraints are found, and the first page is shown
* Your search text ramains in the search box
"
1.8,Editor,"Go through each field constraint under the ""search all"" pull-down.  You may change your search text if no results are found, to demonstrate that each field works correctly","* If there are search results, the first page is displayed
* If there are no search results, suitable ""no results match"" text is displayed
"
1.9,Editor,"Change the page size, using the page-size pull-down","* The size of the page of results displays increases appropriately
"
1.10,Editor,"Click the ""Next"" button to go to the next page of results","* The next page of results is displayed
* The ""First"" and ""Prev"" buttons are activated
"
1.11,Editor,"Click ""Next"" again",
1.12,Editor,"Click ""Prev""","* You are navigated one page forward and then one page back in the results
"
1.13,Editor,"Click ""First""","* You are taken to the first page of the results
"
1.14,Editor,Click the black X button to clear all filters,"* The interface returns to the initial state as per 1.1.1
"
1.15,Editor,"Click ""Edit this journal"" link at the bottom of any journal","* /editor/journal/<id> opens in a new tab
"

2,,Test Admin Journal Search Display
2.1,editor,Go to the DOAJ admin journal search at /editor/group_journals,
2.2,editor,"Open the In DOAJ facet, and select ""False""","* None of the journal titles in the search results are links
"
2.3,editor,"Clear the ""In DOAJ?"" filter",
2.4,editor,"Select ""True"" from that facet","* All the journal titles in the search results are links
"
2.5,editor,Click on the journal title,"* You are taken to the DOAJ ToC page for this journal
"
2.6,editor,Click back in your browser window to go back to the search results,
2.7,editor,"Click on the ""Home page"" URL for a journal result","* You are taken to the Journal's home page
"
2.8,editor,Click back in your browser to go back to the search results,
2.9,editor,"Click on the ""Owner"" of a journal result","* You are requested to log in as the user, you cannot see the user account page
"
2.10,editor,Click back in your browser winder to go back to the search results,
2.11,editor,Open the Journal License facet,
2.12,editor,Select one of the CC licences from this facet,"* All the journal results show the relevant CC icon under the metadata field ""License""
"
2.13,editor,"Clear the ""Journal License"" filter",
2.14,editor,"Open the ""Publication Charges"" filter",
2.15,editor,"Select ""Yes"" from this facet","* All the journal results show that the journals have publication charges, and provide a link to the Journal page
"
2.16,editor,Clear all the search filters with the black X in the search bar,
2.17,editor,"Find a journal in the search results which has a ""Related Record""",
2.18,editor,"Click on the ""Related Record"" link","* You are taken to the application search results, and a single search result is present, showing the applicaiton which produced that journal
"
2.19,editor,"Click ""Edit this journal""","* A new browser window opens containing the edit form for the journal
"
2.20,editor,"Click ""Unlock and Close""",

